iter	Logloss
0	0.6910756457
1	0.688638303
2	0.6861676051
3	0.6830643653
4	0.6807549681
5	0.6777935294
6	0.6760092639
7	0.6737632856
8	0.6717727512
9	0.6694577011
10	0.6672912565
11	0.6656339082
12	0.6631098244
13	0.6615842781
14	0.6593801244
15	0.6575938963
16	0.6548938214
17	0.6532204729
18	0.6515235464
19	0.6498552952
20	0.6476803078
21	0.645812466
22	0.643511747
23	0.6407893622
24	0.6387907563
25	0.6366338649
26	0.633221869
27	0.6314666591
28	0.6280892893
29	0.626020151
30	0.6237859438
31	0.6221266617
32	0.6203804988
33	0.6182401115
34	0.6165428887
35	0.6153470013
36	0.6135981895
37	0.6113059496
38	0.6099377059
39	0.6078735827
40	0.6064690539
41	0.6050670211
42	0.6034276182
43	0.6011225528
44	0.5993720119
45	0.5979534182
46	0.5959941701
47	0.5943583893
48	0.5926874318
49	0.5911274317
50	0.5890966735
51	0.5876617438
52	0.5856584384
53	0.5841230351
54	0.5823912867
55	0.5810574952
56	0.5797093871
57	0.5786168631
58	0.5773824096
59	0.5753596702
60	0.5737851601
61	0.5724384344
62	0.5705983617
63	0.569217404
64	0.5680152869
65	0.5665879365
66	0.5647602807
67	0.5636863815
68	0.5624094867
69	0.5609102842
70	0.55906554
71	0.557792391
72	0.5560912527
73	0.5547832378
74	0.553586996
75	0.5522602916
76	0.5510131758
77	0.549365306
78	0.5479002859
79	0.5468847493
80	0.5457298062
81	0.5441174604
82	0.5431243058
83	0.5410665808
84	0.5397571104
85	0.5380847992
86	0.536982406
87	0.5353014566
88	0.5342459821
89	0.5332019464
90	0.531892515
91	0.5309735265
92	0.5299068312
93	0.5287244394
94	0.5276865612
95	0.5267901962
96	0.5258061919
97	0.5244632166
98	0.5234011578
99	0.5220649431
100	0.5210955277
101	0.5200085785
102	0.5186783691
103	0.517431992
104	0.5161655515
105	0.5151866057
106	0.5137362134
107	0.512743062
108	0.5117585786
109	0.5106242907
110	0.5091308276
111	0.5081947774
112	0.5068661434
113	0.5060357664
114	0.5046345814
115	0.5035675462
116	0.5025072119
117	0.5016138034
118	0.50037156
119	0.4994939837
120	0.4985434797
121	0.4976462823
122	0.4968181795
123	0.4956825592
124	0.494726846
125	0.4934574877
126	0.4925978208
127	0.4911817093
128	0.4900832419
129	0.4891870968
130	0.4881822349
131	0.4867575801
132	0.4858166072
133	0.4843144184
134	0.4831180464
135	0.48221968
136	0.481189509
137	0.4800830739
138	0.4790063392
139	0.4782053362
140	0.4771066041
141	0.4764237166
142	0.475328881
143	0.4746245239
144	0.4732666953
145	0.4726019096
146	0.4717117989
147	0.4708637228
148	0.4699084206
149	0.4688340954
150	0.467869116
151	0.4667786044
152	0.465846217
153	0.4648800834
154	0.4637644772
155	0.4630065532
156	0.462288331
157	0.4614024778
158	0.4606512248
159	0.4597559815
160	0.4590662563
161	0.458295417
162	0.4574625524
163	0.4563241924
164	0.4557188075
165	0.4549167244
166	0.4540261827
167	0.4531919628
168	0.4523028163
169	0.4510793089
170	0.4503861392
171	0.4496943834
172	0.4488987581
173	0.4481034294
174	0.4470770625
175	0.4463465396
176	0.4455341796
177	0.4447669244
178	0.4439975627
179	0.4431693483
180	0.4423272111
181	0.4415126116
182	0.4406478232
183	0.4397356149
184	0.4390463043
185	0.4381931475
186	0.43748296
187	0.4367784414
188	0.4360922308
